Date,Time,Load (kW),,,,,,,
,17:00,8339.89176,,,,,,,
,18:00,7943.6448,,,,,,,
,19:00,7450.90812,,,,,,,
,20:00,6605.415,,,,,,,
,21:00,5704.27272,,,,,,,
,22:00,5544.33984,,,,,,,
,23:00,5633.19144,,,,,,,
26.09.2019,0:00,5671.84968,,,,,,,
,1:00,5830.37964,,,,,,,
,2:00,6411.65616,,,,,,,
,3:00,7734.14208,,,,,,,
,4:00,5250.19428,,,,,,,
,5:00,6550.0776,,,,,,,
,6:00,6635.8116,,,,,,,
,7:00,6824.4264,,,,,,,
,8:00,6824.4264,,,,,,,
,9:00,6601.518,,,,,,,
,10:00,5881.3524,,,,,,,
,11:00,6567.2244,,,,,,,
,12:00,6378.6096,,,,,,,
,13:00,6575.0184,,,,,,,
,14:00,7526.6658,,,,,,,
,15:00,7818.9408,,,,,,,
,16:00,8080.35156,,,,,,,
,17:00,7907.32476,,,,,,,
,18:00,7577.01504,,,,,,,
,19:00,7192.92672,,,,,,,
,20:00,6756.46272,,,,,,,
,21:00,6250.16448,,,,,,,
,22:00,5900.8374,,,,,,,
,23:00,5830.37964,,,,,,,
27.09.2019,0:00,5900.8374,,,,,,,
,1:00,5971.29516,,,,,,,
,2:00,6059.36736,,,,,,,
,3:00,7578.8856,,,,,,,
,4:00,7098.7752,,,,,,,
,5:00,5892.264,,,,,,,
,6:00,6490.53144,,,,,,,
,7:00,6456.5496,,,,,,,
,8:00,5369.13072,,,,,,,
,9:00,5131.25784,,,,,,,
,10:00,5058.306,,,,,,,
,11:00,5058.306,,,,,,,
,12:00,6354.60408,,,,,,,
,13:00,6966.2772,,,,,,,
,14:00,7781.84136,,,,,,,
,15:00,8518.53024,,,,,,,
,16:00,8501.6952,,,,,,,
,17:00,8325.5508,,,,,,,
,18:00,7665.08724,,,,,,,
,19:00,7227.84384,,,,,,,
,20:00,6808.8384,,,,,,,
,21:00,6217.89732,,,,,,,
,22:00,5813.70048,,,,,,,
,23:00,5513.31972,,,,,,,
28.09.2019,0:00,5460.4764,,,,,,,
,1:00,5654.23524,,,,,,,
,2:00,6446.88504,,,,,,,
,3:00,7315.13664,,,,,,,
,4:00,7646.84928,,,,,,,
,5:00,6762.38616,,,,,,,
,6:00,6728.40432,,,,,,,
,7:00,6558.49512,,,,,,,
,8:00,5229.774,,,,,,,
,9:00,5058.306,,,,,,,
